FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
76,0.3533 A DC,14/01/2026 17:04:21.6,0:00:05.3,14/01/2026 17:04:26.8,0.3643 A DC,0.3381 A DC,14/01/2026 17:04:24.0,0.3297 A DC,Stable,14/01/2026 17:04:26.9
77,0.3676 A DC,14/01/2026 17:04:26.9,0:00:00.1,14/01/2026 17:04:26.9,0.3676 A DC,0.3676 A DC,14/01/2026 17:04:26.9,0.3676 A DC,Unstable,14/01/2026 17:04:27.0
78,0.3400 A DC,14/01/2026 17:04:27.0,0:00:02.2,14/01/2026 17:04:27.2,0.3429 A DC,0.3368 A DC,14/01/2026 17:04:27.5,0.3328 A DC,Stable,14/01/2026 17:04:29.2
79,0.3587 A DC,14/01/2026 17:04:29.2,0:00:00.1,14/01/2026 17:04:29.2,0.3587 A DC,0.3587 A DC,14/01/2026 17:04:29.2,0.3587 A DC,Unstable,14/01/2026 17:04:29.3
80,0.3359 A DC,14/01/2026 17:04:29.3,0:00:01.1,14/01/2026 17:04:30.2,0.3464 A DC,0.3370 A DC,14/01/2026 17:04:29.5,0.3309 A DC,Interval,14/01/2026 17:04:30.4
81,0.3433 A DC,14/01/2026 17:04:30.4,0:00:10.0,14/01/2026 17:04:32.8,0.3522 A DC,0.3375 A DC,14/01/2026 17:04:34.2,0.3300 A DC,Interval,14/01/2026 17:04:40.4
82,0.3410 A DC,14/01/2026 17:04:40.4,0:00:09.1,14/01/2026 17:04:42.1,0.3516 A DC,0.3377 A DC,14/01/2026 17:04:41.9,0.3311 A DC,Stable,14/01/2026 17:04:49.5
83,0.3620 A DC,14/01/2026 17:04:49.5,0:00:00.5,14/01/2026 17:04:49.5,0.3620 A DC,0.3620 A DC,14/01/2026 17:04:49.5,0.3620 A DC,Unstable,14/01/2026 17:04:50.0
84,0.3349 A DC,14/01/2026 17:04:50.0,0:00:00.5,14/01/2026 17:04:50.3,0.3437 A DC,0.3371 A DC,14/01/2026 17:04:50.4,0.3333 A DC,Interval,14/01/2026 17:04:50.5
85,0.3319 A DC,14/01/2026 17:04:50.5,0:00:00.8,14/01/2026 17:04:51.2,0.3385 A DC,0.3339 A DC,14/01/2026 17:04:50.6,0.3316 A DC,Unstable,14/01/2026 17:04:51.3
86,0.3498 A DC,14/01/2026 17:04:51.3,0:00:09.2,14/01/2026 17:04:56.2,0.3531 A DC,0.3388 A DC,14/01/2026 17:04:59.5,0.3304 A DC,Interval,14/01/2026 17:05:00.4
87,0.3346 A DC,14/01/2026 17:05:00.4,0:00:01.3,14/01/2026 17:05:01.6,0.3465 A DC,0.3372 A DC,14/01/2026 17:05:00.8,0.3320 A DC,Stable,14/01/2026 17:05:01.7
88,0.3523 A DC,14/01/2026 17:05:01.7,0:00:08.8,14/01/2026 17:05:03.7,0.3555 A DC,0.3395 A DC,14/01/2026 17:05:06.6,0.3320 A DC,Interval,14/01/2026 17:05:10.5
89,0.3453 A DC,14/01/2026 17:05:10.5,0:00:07.2,14/01/2026 17:05:17.3,0.3516 A DC,0.3402 A DC,14/01/2026 17:05:12.7,0.3316 A DC,Stable,14/01/2026 17:05:17.7
90,0.3748 A DC,14/01/2026 17:05:17.7,0:00:00.1,14/01/2026 17:05:17.7,0.3748 A DC,0.3748 A DC,14/01/2026 17:05:17.7,0.3748 A DC,Unstable,14/01/2026 17:05:17.8
91,0.3477 A DC,14/01/2026 17:05:17.8,0:00:02.6,14/01/2026 17:05:18.1,0.3582 A DC,0.3387 A DC,14/01/2026 17:05:19.7,0.3313 A DC,Interval,14/01/2026 17:05:20.4
92,0.3442 A DC,14/01/2026 17:05:20.4,0:00:00.7,14/01/2026 17:05:20.9,0.3688 A DC,0.3507 A DC,14/01/2026 17:05:20.5,0.3438 A DC,Unstable,14/01/2026 17:05:21.1
93,0.3355 A DC,14/01/2026 17:05:21.1,0:00:05.1,14/01/2026 17:05:23.6,0.3544 A DC,0.3401 A DC,14/01/2026 17:05:24.8,0.3291 A DC,Stable,14/01/2026 17:05:26.3
94,0.3665 A DC,14/01/2026 17:05:26.3,0:00:00.8,14/01/2026 17:05:26.9,0.3838 A DC,0.3574 A DC,14/01/2026 17:05:26.4,0.3365 A DC,Unstable,14/01/2026 17:05:27.1
