FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
87,0.1831 A DC,14/01/2026 14:35:00.6,0:00:05.1,14/01/2026 14:35:03.1,0.1927 A DC,0.1836 A DC,14/01/2026 14:35:05.4,0.1800 A DC,Stable,14/01/2026 14:35:05.7
88,0.7538 A DC,14/01/2026 14:35:05.7,0:00:00.2,14/01/2026 14:35:05.7,0.7538 A DC,0.4911 A DC,14/01/2026 14:35:05.8,0.2284 A DC,Unstable,14/01/2026 14:35:05.9
89,0.1811 A DC,14/01/2026 14:35:05.9,0:00:04.6,14/01/2026 14:35:06.8,0.1908 A DC,0.1844 A DC,14/01/2026 14:35:06.5,0.1795 A DC,Interval,14/01/2026 14:35:10.5
90,0.1851 A DC,14/01/2026 14:35:10.5,0:00:05.3,14/01/2026 14:35:10.8,0.2017 A DC,0.1856 A DC,14/01/2026 14:35:11.6,0.1816 A DC,Stable,14/01/2026 14:35:15.9
91,0.5768 A DC,14/01/2026 14:35:15.9,0:00:00.1,14/01/2026 14:35:15.9,0.5768 A DC,0.5768 A DC,14/01/2026 14:35:15.9,0.5768 A DC,Unstable,14/01/2026 14:35:16.0
92,0.1960 A DC,14/01/2026 14:35:16.0,0:00:04.6,14/01/2026 14:35:17.8,0.1964 A DC,0.1839 A DC,14/01/2026 14:35:16.2,0.1818 A DC,Interval,14/01/2026 14:35:20.6
93,0.1817 A DC,14/01/2026 14:35:20.6,0:00:00.4,14/01/2026 14:35:20.9,0.2422 A DC,0.1992 A DC,14/01/2026 14:35:20.6,0.1817 A DC,Unstable,14/01/2026 14:35:21.0
94,0.1879 A DC,14/01/2026 14:35:21.0,0:00:04.9,14/01/2026 14:35:24.4,0.1989 A DC,0.1858 A DC,14/01/2026 14:35:23.7,0.1814 A DC,Stable,14/01/2026 14:35:25.9
95,0.4363 A DC,14/01/2026 14:35:25.9,0:00:00.2,14/01/2026 14:35:25.9,0.4363 A DC,0.3511 A DC,14/01/2026 14:35:26.0,0.2659 A DC,Unstable,14/01/2026 14:35:26.1
96,0.1909 A DC,14/01/2026 14:35:26.1,0:00:04.4,14/01/2026 14:35:26.8,0.1958 A DC,0.1834 A DC,14/01/2026 14:35:27.3,0.1778 A DC,Interval,14/01/2026 14:35:30.6
97,0.1823 A DC,14/01/2026 14:35:30.6,0:00:00.6,14/01/2026 14:35:31.1,0.2020 A DC,0.1866 A DC,14/01/2026 14:35:30.6,0.1823 A DC,Unstable,14/01/2026 14:35:31.2
98,0.1830 A DC,14/01/2026 14:35:31.2,0:00:04.9,14/01/2026 14:35:34.9,0.1920 A DC,0.1836 A DC,14/01/2026 14:35:33.6,0.1791 A DC,Stable,14/01/2026 14:35:36.1
99,0.6386 A DC,14/01/2026 14:35:36.1,0:00:00.2,14/01/2026 14:35:36.1,0.6386 A DC,0.4190 A DC,14/01/2026 14:35:36.2,0.1994 A DC,Unstable,14/01/2026 14:35:36.3
100,0.1793 A DC,14/01/2026 14:35:36.3,0:00:01.9,14/01/2026 14:35:36.8,0.1918 A DC,0.1848 A DC,14/01/2026 14:35:37.4,0.1785 A DC,Stable,14/01/2026 14:35:38.2
101,0.2019 A DC,14/01/2026 14:35:38.2,0:00:02.5,14/01/2026 14:35:38.2,0.2019 A DC,0.1824 A DC,14/01/2026 14:35:38.4,0.1780 A DC,Interval,14/01/2026 14:35:40.7
102,0.1824 A DC,14/01/2026 14:35:40.7,0:00:05.4,14/01/2026 14:35:45.9,0.1906 A DC,0.1838 A DC,14/01/2026 14:35:41.1,0.1799 A DC,Stable,14/01/2026 14:35:46.2
103,0.2131 A DC,14/01/2026 14:35:46.2,0:00:00.4,14/01/2026 14:35:46.2,0.2131 A DC,0.1971 A DC,14/01/2026 14:35:46.5,0.1887 A DC,Unstable,14/01/2026 14:35:46.6
104,0.1818 A DC,14/01/2026 14:35:46.6,0:00:04.0,14/01/2026 14:35:48.1,0.1899 A DC,0.1834 A DC,14/01/2026 14:35:49.7,0.1781 A DC,Interval,14/01/2026 14:35:50.6
105,0.1817 A DC,14/01/2026 14:35:50.6,0:00:00.8,14/01/2026 14:35:51.3,0.4211 A DC,0.2148 A DC,14/01/2026 14:35:51.0,0.1812 A DC,Unstable,14/01/2026 14:35:51.4
106,0.1887 A DC,14/01/2026 14:35:51.4,0:00:04.9,14/01/2026 14:35:51.4,0.1887 A DC,0.1828 A DC,14/01/2026 14:35:56.0,0.1808 A DC,Stable,14/01/2026 14:35:56.3
107,0.2271 A DC,14/01/2026 14:35:56.3,0:00:00.1,14/01/2026 14:35:56.3,0.2271 A DC,0.2271 A DC,14/01/2026 14:35:56.3,0.2271 A DC,Unstable,14/01/2026 14:35:56.4
108,0.1837 A DC,14/01/2026 14:35:56.4,0:00:04.1,14/01/2026 14:35:57.8,0.1921 A DC,0.1843 A DC,14/01/2026 14:36:00.4,0.1786 A DC,Interval,14/01/2026 14:36:00.5
109,0.1819 A DC,14/01/2026 14:36:00.5,0:00:01.0,14/01/2026 14:36:01.4,0.6924 A DC,0.2509 A DC,14/01/2026 14:36:00.5,0.1819 A DC,Unstable,14/01/2026 14:36:01.6
110,0.1817 A DC,14/01/2026 14:36:01.6,0:00:09.1,14/01/2026 14:36:08.8,0.1918 A DC,0.1828 A DC,14/01/2026 14:36:07.7,0.1785 A DC,Interval,14/01/2026 14:36:10.6
111,0.1893 A DC,14/01/2026 14:36:10.6,0:00:01.1,14/01/2026 14:36:11.5,0.8179 A DC,0.2526 A DC,14/01/2026 14:36:11.3,0.1817 A DC,Unstable,14/01/2026 14:36:11.7
112,0.1913 A DC,14/01/2026 14:36:11.7,0:00:08.9,14/01/2026 14:36:11.8,0.1932 A DC,0.1826 A DC,14/01/2026 14:36:12.5,0.1780 A DC,Interval,14/01/2026 14:36:20.6
113,0.1883 A DC,14/01/2026 14:36:20.6,0:00:01.1,14/01/2026 14:36:20.9,0.1898 A DC,0.1843 A DC,14/01/2026 14:36:21.5,0.1781 A DC,Stable,14/01/2026 14:36:21.7
114,0.9514 A DC,14/01/2026 14:36:21.7,0:00:00.2,14/01/2026 14:36:21.7,0.9514 A DC,0.5947 A DC,14/01/2026 14:36:21.8,0.2379 A DC,Unstable,14/01/2026 14:36:21.9
